# timestamp tx ty tz qx qy qz qw
1.520621175986840725e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.000749464212066869e-02 4.845589637468553090e-02 0.000000000000000000e+00 9.975726923819355774e-01
1.520621176036842823e+09 6.029814248904585838e-04 4.107526328880339861e-04 5.599949508905410767e-05 -5.000332682422048425e-02 4.394737205374209948e-02 -4.082076202110920468e-03 9.977733372113929411e-01
1.520621176086894035e+09 3.949353471398353577e-03 3.332021413370966911e-03 -1.224955543875694275e-03 -4.089709171947773780e-02 3.784833291430040464e-02 -5.827939319355331972e-03 9.984292497256811449e-01
1.520621176136830807e+09 1.002243626862764359e-02 8.545083925127983093e-03 -4.050006158649921417e-03 -2.751236189460954176e-02 3.563317744771924561e-02 -5.616753379687494489e-03 9.989703692750007136e-01
1.520621176186832666e+09 -4.258553963154554367e-04 1.669411081820726395e-03 1.091724916477687657e-04 1.787615189901608365e-02 -1.840147184633476873e-02 -5.206761656098867900e-07 9.996708603469947052e-01
1.520621176236833811e+09 1.412991550751030445e-03 3.730768570676445961e-03 -2.787146018818020821e-03 1.850133523880811634e-02 -5.425911711021622931e-03 5.639023921518671219e-03 9.997982103833241707e-01
1.520621176286835909e+09 2.451441017910838127e-03 5.279772449284791946e-03 -3.001580014824867249e-03 7.809616500969283545e-03 -2.058391892175104321e-03 4.463000617644833669e-03 9.999574263629492643e-01
1.520621176336837053e+09 3.123511793091893196e-03 7.652154657989740372e-03 -2.252978505566716194e-03 -2.535319823629783261e-04 -3.620283271592373339e-03 8.680360207963560464e-04 9.999930378677814868e-01
1.520621176386838913e+09 3.732086159288883209e-03 1.044549420475959778e-02 -1.767472247593104839e-03 -2.420555014934274753e-03 -6.264651900958927676e-03 -1.390917758886445416e-03 9.999764799222866651e-01
1.520621176436839819e+09 4.043549764901399612e-03 1.379472110420465469e-02 -1.743193366564810276e-03 -2.647391784258978312e-03 -7.599404636314651719e-03 2.564362396699677057e-04 9.999675867778761162e-01
1.520621176486861229e+09 3.904322860762476921e-03 1.641948334872722626e-02 -2.239281078800559044e-03 1.628876892081558168e-03 -7.060845324057949367e-03 1.718143572155723508e-03 9.999722692185247785e-01
1.520621176536863089e+09 2.897675847634673119e-03 1.884211227297782898e-02 -2.636024262756109238e-03 5.775849703543512077e-03 -9.804036303595088653e-03 2.608753929800518376e-03 9.999318550957829732e-01
1.520621176586863995e+09 1.826065941713750362e-03 2.162672951817512512e-02 -2.888856222853064537e-03 7.809937629847111401e-03 -1.115827472084539133e-02 4.676453867354136117e-03 9.998963089034273999e-01
1.520621176636866093e+09 1.596244110260158777e-04 2.397327125072479248e-02 -2.282186644151806831e-03 7.306517795445695643e-03 -1.417800086060276056e-02 7.086654894473518214e-03 9.998476776047980907e-01
1.520621176686866999e+09 -1.920497161336243153e-03 2.637199312448501587e-02 -1.342900563031435013e-03 7.333712988462089133e-03 -1.860982519302895044e-02 8.926712750191049747e-03 9.997600736474543393e-01
1.520621176736868858e+09 -4.392541944980621338e-03 2.862391807138919830e-02 -3.465367190074175596e-04 9.680973192144184947e-03 -2.383349234301618616e-02 9.251045828418407932e-03 9.996262609354903406e-01
1.520621176786870003e+09 -6.383493077009916306e-03 3.091489337384700775e-02 8.162383164744824171e-05 1.571690025514726682e-02 -2.772164577292829390e-02 1.028575975647929783e-02 9.994391890196432371e-01
1.520621176836872101e+09 -8.207896724343299866e-03 3.241258114576339722e-02 -1.523511018604040146e-04 2.337629768302073099e-02 -2.950886089569900589e-02 1.115841166113944877e-02 9.992288354948898332e-01
1.520621176886877298e+09 -1.019720174372196198e-02 3.318862617015838623e-02 -3.461243468336760998e-04 2.863651568843421369e-02 -3.270061909030715086e-02 1.151306036155668247e-02 9.989885229177799530e-01
1.520621176936878204e+09 -1.212826557457447052e-02 3.368503972887992859e-02 -4.186198639217764139e-04 3.012959067601638646e-02 -3.407267605992108511e-02 1.135835341517960929e-02 9.989005197313230999e-01
1.520621176986880302e+09 -1.379334460943937302e-02 3.386870026588439941e-02 -3.481345484033226967e-04 2.842792361741404081e-02 -3.294326954369870136e-02 9.768366352029368010e-03 9.990050916633941291e-01
1.520621177036882162e+09 -1.518647745251655579e-02 3.383145853877067566e-02 -3.588832914829254150e-04 2.582469889148755054e-02 -3.197301470063250439e-02 8.134084546005358740e-03 9.991219384673303283e-01
1.520621177086883068e+09 -1.648387685418128967e-02 3.374152258038520813e-02 -7.071947329677641392e-04 2.465079054215715479e-02 -3.164147442151642869e-02 6.940059049143919127e-03 9.991711521068219470e-01
1.520621177136885405e+09 -1.820194721221923828e-02 3.367211297154426575e-02 -1.461577485315501690e-03 2.545727693446334441e-02 -3.083966223029630666e-02 5.316878857578414240e-03 9.991859552074463524e-01
1.520621177186887264e+09 -1.992027275264263153e-02 3.366496041417121887e-02 -2.202510135248303413e-03 2.814623496057737373e-02 -3.128907794871389064e-02 4.838429803461281008e-03 9.991022833802855052e-01
1.520621177236888170e+09 -2.206676639616489410e-02 3.368537873029708862e-02 -3.078705631196498871e-03 3.084665898192447825e-02 -3.008531395581577270e-02 3.638849580466670380e-03 9.990646206765424475e-01
1.520621177286936760e+09 -2.450224384665489197e-02 3.382775187492370605e-02 -3.641253570094704628e-03 3.218713684076154879e-02 -2.857298695546946210e-02 2.126959092253155950e-03 9.990710929075349300e-01
1.520621177336937904e+09 -2.727699466049671173e-02 3.409076109528541565e-02 -3.478339174762368202e-03 3.165151601399918829e-02 -2.712558439040169134e-02 1.618037520641222367e-04 9.991308012592948762e-01
1.520621177386938810e+09 -3.005796857178211212e-02 3.445287793874740601e-02 -2.888862742111086845e-03 2.983424523886193599e-02 -2.612751446389870169e-02 -2.449586204922629337e-03 9.992103233686043806e-01
1.520621177436940670e+09 -3.277229517698287964e-02 3.465877473354339600e-02 -2.228363184258341789e-03 2.803882775359610793e-02 -2.558948849343355147e-02 -4.626005430770060989e-03 9.992685336237718818e-01
1.520621177486941814e+09 -3.516194224357604980e-02 3.465639054775238037e-02 -2.069941256195306778e-03 2.782352371660785570e-02 -2.516514360069740247e-02 -6.438032065556709149e-03 9.992752968119799073e-01
1.520621177536943674e+09 -3.721605613827705383e-02 3.450346738100051880e-02 -2.092212438583374023e-03 2.963150067879140315e-02 -2.457053554923512712e-02 -7.869552718695483479e-03 9.992278684516131548e-01
1.520621177586948633e+09 -3.868298605084419250e-02 3.452878445386886597e-02 -2.414856804534792900e-03 3.182541241365152013e-02 -2.405897181776826821e-02 -8.942875177839782266e-03 9.991638173909853649e-01
